Date,Daily Average,Weekly Average
2022-02-01,13.4226147291667,18.1444022083333
2022-02-02,16.157188,17.7569259642857
2022-02-03,13.6399578958333,16.7852957797619
2022-02-04,16.8873874166667,16.3802519672619
2022-02-05,13.1037325208333,15.5403614255952
2022-02-06,13.9128127291667,15.0033262589286
2022-02-07,17.2374017083333,14.9087278571429
2022-02-08,10.765179,14.5290941815476
2022-02-09,14.7465008333333,14.3275674434524
2022-02-10,16.7440629375,14.7710110208333
2022-02-11,12.6471306041667,14.165260047619
2022-02-12,12.6025885416667,14.0936680505952
2022-02-13,14.4097461875,14.1646585446429
2022-02-14,13.8240591875,13.6770381845238
2022-02-15,16.7281671041667,14.5288936279762
2022-02-16,16.0665625,14.7174738660714
2022-02-17,14.9302569375,14.4583587232143
2022-02-18,15.1127916666667,14.8105960178571
2022-02-19,17.9680833333333,15.5770952738095
2022-02-20,18.9826666666667,16.2303696279762
2022-02-21,22.3460416666667,17.4477956964286
2022-02-22,14.0995994375,17.0722860297619
2022-02-23,17.3182086041667,17.2510926160714
2022-02-24,22.6224545,18.3499779821429
2022-02-25,17.056089375,18.6275919404762
2022-02-26,16.5461801041667,18.4244629077381
2022-02-27,9.98752354166667,17.1394424613095
2022-02-28,18.8052253958333,16.6336115654762
2022-03-01,22.8687483541667,17.886347125
2022-03-02,26.2694625416667,19.1650976875
2022-03-03,31.8718125,20.4864345446429
2022-03-04,34.961625,23.0443682053571
2022-03-05,31.6127291666667,25.1967323571429
2022-03-06,30.468959875,28.1226518333333
2022-03-07,34.8556859375,30.4155747678571
2022-03-08,34.7463353333333,32.1123729077381
2022-03-09,27.8317556875,32.3355576428572
2022-03-10,24.9452085416667,31.3460427916667
2022-03-11,19.2897418541667,29.1072023422619
2022-03-12,15.9592107916667,26.8709854315476
2022-03-13,23.429875,25.8654018779762
2022-03-14,22.032625,24.0335360297619
2022-03-15,20.6197652916667,22.0154545952381
2022-03-16,23.7722276041667,21.4355220119048
2022-03-17,20.2975625,20.771572577381
2022-03-18,18.654646125,20.6808446160714
2022-03-19,7.11839547916667,19.417871
2022-03-20,13.7269427083333,18.0317378154762
2022-03-21,22.5317291666667,18.1030384107143
